kota,mobile,fixed,k=2,k=4
Balikpapan,35.12,24.06,1,3
Banda Aceh,34.97,26.13,1,3
Bandar Lampung,23.93,20.64,0,0
Bandung,19.91,27.31,0,2
Banguntapan,25.85,19.99,1,0
Banjarbaru,32.34,22.6,1,3
Banjarmasin,25.84,28.56,1,1
Banjarnegara ,16.52,12.52,0,2
Bantul,24.22,19.33,0,0
Batam,26.53,23.49,1,0
Bekasi,23.86,30.45,1,1
Bengkulu,24.96,18.23,0,0
Blitar,21.47,9.22,0,0
Bogor,18.86,27.95,0,2
Bojong Gede,22.03,29.45,0,1
Cibinong,21.71,28.65,0,1
Cilacap,19.12,18.66,0,2
Cilegon,20.49,21.54,0,2
Cileungsi,22.57,26.12,0,2
Cimahi,13.6,21.76,0,2
Ciomas,21.9,28.56,0,1
Cirebon,17.12,20.27,0,2
Cisarua,14.09,21.49,0,2
Denpasar,27.9,34.53,1,1
Depok,32.98,28.62,1,3
Gorontalo,21.28,20.76,0,2
Gresik,26.68,23.74,1,0
Grogol,16.88,20.93,0,2
Gunung Putri,23.07,34.85,1,1
Gunung Sindur,21.49,25.04,0,2
Jakarta Barat,24.49,44.03,1,1
Jakarta Selatan,22.52,32.76,1,1
Jakarta Timur,26.08,33.77,1,1
Jakarta Utara,28.22,49.01,1,1
Jakata Pusat,28.64,37.04,1,1
Jambi,25.97,24.46,1,0
Jayapura,36.01,27.73,1,3
Jember,30.68,12.72,1,0
Karawang,21.17,15.17,0,0
Karawang Barat,17.57,21.19,0,2
Kasihan,23.76,23.08,0,0
Kediri,21.6,11.7,0,0
Kendari,22.52,23.12,0,2
Klaten,17.04,11.76,0,2
Kudus,15.96,22.22,0,2
Kupang,18.28,19.83,0,2
Kuta,39.05,28.3,1,3
Kuta Selatan,35.93,30.44,1,3
Kuta Utara,26.71,43.14,1,1
Lembang,18.8,20.94,0,2
Madiun,28.74,17.42,1,0
Magelang,12.08,18.42,0,2
Makassar,21.2,25.25,0,2
Malang,26.55,20.48,1,0
Manado,20.74,24.92,0,2
Mataram,24.28,17.94,0,0
Medan,22.05,24.51,0,2
Padang,24.8,24.5,1,0
Palangkaraya,23.91,18.09,0,0
Palembang,30.28,27.33,1,3
Palu,22.49,23.8,0,2
Pangkal Pinang,29.62,20.03,1,0
Pekalongan,16.84,18.82,0,2
Pekanbaru,24.51,19.72,0,0
Pontianak,27.89,25.16,1,0
Purwakarta,15.6,28.23,0,2
Purwokerto,18.73,24.84,0,2
Salatiga,19.18,24.28,0,2
Samarinda,25.15,24.58,1,0
Semarang,19.93,19.98,0,2
Serang,28.46,17.51,1,0
Sidoarjo,22.41,23.01,0,2
Sukabumi,18.71,20.59,0,2
Sukaraja,23.62,30.11,1,1
Surabaya,23.62,31.39,1,1
Surakarta,21.69,23.9,0,2
Tajur Halang,19.55,26.15,0,2
Tangerang,24.16,31.0,1,1
Tangerang Selatan,26.16,33.84,1,1
Tasikmalaya,15.51,22.43,0,2
Tegal,15.86,23.58,0,2
Telukjambe Timur,17.24,24.88,0,2
Trenggalek,28.7,6.45,0,0
Tulungagung,29.94,8.58,1,0
Yogyakarta,19.38,21.37,0,2
